result shown in seconds
totalTime: 18.9182205
joinFiles: 1.1538663
parsingDonationsFile: 12.4776825
parsingDonorsFile: 5.2866705
--------- results ---------
,1.7681222739999976E7
River Forest,21106.33
Viroqua,2157.31
Wharncliffe,774.0699999999999
Esko,340.0
Nalcrest,194.58
Nolanville,734.5300000000001
Chadwick,1191.38
Kinder,315.0
Dupont,6240.91
Depoe Bay,1742.99
Morattico,50.0
Alledonia,30.0
Bethel,30739.480000000003
Goose Creek,42709.25000000001
Moriah Center,112.0
Hartman,191.0
Shirley Mills,25.0
Seneca,43523.35999999999
Puunene,294.93
Golden City,150.0
Spring Park,224.0
Patten,1605.29
Litchville,2598.76
Forreston,355.0
Carson City,27062.839999999997
Goochland,2501.06
Vining,100.0
Carnelian Bay,1761.84
Daggett,1828.77
North Haverhill,155.0
Yankeetown,15.0
Henrietta,6235.74
Ringtown,145.0
Tumacacori,20.0
Michigantown,860.0
Tolleson,17111.949999999997
Bunker Hill,2890.55
Henriette,30.0
Wagener,10913.5
North Zulch,75.0
Chassell,2848.3900000000003
Cookson,545.44
Amarillo,73628.76
Tularosa,969.81
Stanley,15701.01
Blooming Prairie,1749.52
Chantilly,80786.53000000001
Bixby,22216.610000000004
Scotts,4513.18
Cascade,4131.459999999999
Verdugo City,403.0
Vincent,5062.110000000001
Mancos,1721.92
Birch Run,14842.01
Binford,100.0
Paola,4475.92
Andalusia,15914.039999999999
Monroe,208294.0700000001
Kaufman,4903.490000000001
Paoli,11108.330000000002
Bowmanstown,1051.76
Mount Pleasant Mills,200.0
Mahomet,11726.92
Zillah,4267.450000000001
Tiskilwa,263.0
Snow Hill,8188.6900000000005
Curlew,250.0
Fultonville,545.0
Crouse,680.0
Severna Park,44497.04
Pinos Altos,150.0
Bryantown,947.3199999999999
Bunnell,6698.469999999999
Harpursville,360.0
Pennsville,2293.84
Idleyld Park,1095.55
Runnells,170.0
New Bloomington,20.0
Moira,60.0
Glenwood,14972.0
Silver Bay,763.3
Fitzwilliam,535.0
Cooksburg,20.0
Valley Falls,1289.0
Whittington,250.0
Berrien Center,50.0
Wilkesboro,13747.050000000003
Stuarts Draft,3875.9300000000003
Portageville,270.0
Prairie Du Rocher,564.62
Eastanollee,938.25
Mcarthur,120.0
Beersheba Springs,25.0
Harleysville,17234.51
Graton,545.0
Turon,170.0
Lafox,20.0
Pembina,754.27
Pembine,80.0
Oakhurst,7076.19
Logansport,6829.7300000000005
Garrattsville,420.0
Verona Beach,25.0
Vicksburg,22927.789999999997
New Franken,1020.72
Black River Falls,6178.120000000001
Ellijay,5079.969999999999
Nehalem,260.0
Scotia,225.0
Gazelle,100.0
Wilmot,643.4
West Hartland,250.0
Bolingbrook,44790.189999999995
Yemassee,506.12
Kalkaska,8815.8
Chapel Hill,465185.3900000002
Boscobel,588.5
Weldon,837.56
Braidwood,375.0
Cavour,0.0
Sherburne,1580.47
Keyes,2905.1
Frankton,3324.94
Charlotte Hall,1128.3400000000001
Martinton,90.0
North Blenheim,50.0
Le Mars,3901.71
East Machias,285.0
Sugar Loaf,832.38
Concan,256.32
Farmdale,285.0
Utica,58360.27
Saint Helena Island,3636.26
Bayside,58664.86999999999
Solana Beach,17691.56
Zelienople,6847.43
Wichita Falls,71593.74999999999
Skykomish,320.72
Hingham,28976.699999999993
Corona,142064.65
Dammeron Valley,449.26
Little Switzerland,289.52
Vesper,35.0
Heltonville,0.0
Darrington,145.0
Woodberry Forest,75.0
Elk River,13495.87
Martins Ferry,1681.71
Gratis,384.26
Powells Point,25.0
Valley Park,4266.1
West Falls,420.98
Weaverville,22664.449999999997
Lorton,27900.65
Deland,31486.900000000005
Shingleton,50.0
Lake Benton,75.0
Gomer,20.0
Chateaugay,420.0
Decatur,281297.64
Cedarhurst,2763.39
Warner,2054.58
Rolla,10369.619999999999
Dunlo,20.0
Haledon,7413.179999999999
Grundy,2471.0
Delano,7169.280000000001
Patton,2673.71
Telluride,2571.12
Ismay,75.0
Hornbeck,1016.98
Canfield,16216.51
Drewsey,250.0
Land O' Lakes,39758.540000000015
Wadesville,747.8499999999999
Catawba,4115.299999999999
Gray Court,11122.230000000001
Mount Cory,166.85
North Henderson,20.0
Callaway,1947.89
Ocracoke,764.0
Bridport,226.0
Aristes,10.0
Dickens,80.0
Oak Lawn,32603.649999999998
Cedar Lake,5797.62
Champlain,50.0
Maidens,1480.27
Black,95.0
Mokelumne Hill,344.0
Anthon,25.0
Alto Pass,50.0
Fort Davis,2223.5800000000004
Ralston,50.0
Neptune,22682.36
Natalbany,203.6
Hammondsville,543.94
Seekonk,19862.989999999998
Floral City,1141.78
Crestwood,30107.870000000003
Montgomery Center,35.0
Ipava,55.0
Clifty,15.71
Conway Springs,165.0
Columbus Junction,787.3199999999999
Foreman,100.0
Remus,434.94
Slocomb,743.97
Newton Grove,5516.15
Woods Hole,1533.71
Gloversville,3431.12
Mount Airy,68548.77
Waddy,386.67
Smartt,50.0
Hornbeak,105.0
Tahuya,62.5
Norfolk,188641.9599999999
Mullett Lake,0.0
Park Ridge,79811.44000000002
Grantsboro,627.87
Monsey,4239.91
Fort Covington,156.0
Orefield,10834.669999999998
Hegins,191.0
Chippewa Lake,3320.2799999999997
Bloomingrose,25.0
Cantonment,7475.7
Hankinson,10.0
Wolf Lake,100.0
Loreauville,728.9200000000001
Bridgewater,58460.53
Daisytown,60.0
Sag Harbor,4877.12
Kooskia,300.0
Ronald,100.0
Notre Dame,2642.39
Istachatta,50.0
Castleford,130.0
Power,60.0
Loogootee,3604.9
Rock Creek,699.0
Montrose,38710.899999999994
Walpole,21499.300000000007
Rutherford,19647.4
Lester,149.0
McAndrews,60.0
East Marion,320.0
North Royalton,22641.29
Newton Highlands,10812.990000000002
Argusville,470.0
Eagles Mere,50.0
Raritan,3899.02
North Scituate,8917.71
Concho,853.41
Hobbsville,780.2
Langhorne,22781.299999999996
Grayland,842.3600000000001
Comfrey,599.55
Montross,1165.3899999999999
Mount Sidney,1735.0600000000002
Punxsutawney,2918.46
Spring Hill,47009.790000000015
Highlandville,645.0
Camp Point,2800.2999999999997
Lava Hot Springs,225.0
Burlington Junction,2013.02
Delaplaine,149.0
Morehouse,20.0
Fairview Heights,10145.68
Grimesland,2436.69
Pataskala,9039.18
West Boxford,340.0
Merigold,725.0
Lowber,320.0
Bolingbroke,131.0
La Fayette,10570.939999999999
Oak Island,4307.3099999999995
Maypearl,458.0
Agra,25.0
Poway,63027.49000000002
Panaca,90.0
Alger,509.0
Peculiar,5296.599999999999
East Rochester,1736.47
Ravensdale,1672.94
Norfork,95.0
Leander,41843.880000000005
West Baden Springs,105.0
Mandan,16105.380000000001
Oconto,1476.26
Craftsbury,788.5699999999999
Maurepas,775.97
Hubbard,9724.479999999998
Orocovis,45.0
Dillsboro,1294.34
Olsburg,865.12
Cataula,7971.22
New Kent,4437.64
Medical Lake,2702.52
Dundalk,7994.59
Kinderhook,3265.71
Genoa,9090.539999999999
Mabank,5170.679999999999
Apalachicola,1836.28
New Munster,200.0
Richboro,6466.410000000001
Glengary,200.72
Millport,235.0
Spring Brook,99.0
Delaware,22457.97
Buchanan,10652.48
Bryantville,112.0
Steinhatchee,117.11
Granada Hills,115320.26000000002
Longs,2635.44
Sweet Valley,873.1600000000001
Mastic Beach,3503.77
Livingston Manor,1464.22
Ida Grove,736.36
Mendota,1469.6599999999999
Barbourville,227.5
Heyburn,285.0
Pierre Part,250.0
Saint Bonifacius,1863.83
Grass Lake,5004.33
Salyer,280.0
Carpentersville,8114.969999999999
Empire,3391.2
Morrisonville,3016.5200000000004
Sawyer,2229.1899999999996
Patriot,240.0
West Lafayette,85193.09000000004
Willow Wood,70.0
Royal Center,160.5
Glen Allan,485.0
New Raymer,20.0
Lyndonville,3992.55
Estill Springs,1382.75
Banner,178.0
Melrose Park,6988.049999999999
Caldwell,93714.09999999996
East Brunswick,53066.36
Maidsville,145.0
Prospect,40379.81999999999
Denham Springs,62889.360000000015
Avenel,2006.06
Sarita,25.0
Borger,1035.0
Okahumpka,816.45
Pinson,11579.039999999997
Cardiff,42.99
Casanova,25.0
Davis,58470.31000000002
Eastwood,50.0
Wind Ridge,1089.02
Appalachia,157.0
Trout Lake,940.0
Copper Center,315.0
Village Mills,387.26
Imperial Beach,12733.170000000002
Peninsula,1513.56
Marlboro,14463.559999999998
Woodlake,1490.24
Dimock,926.3199999999999
Navesink,75.0
Dysart,817.71
Hartville,2940.62
Naugatuck,19515.120000000003
Soquel,12376.57
Bass Lake,170.0
David,60.0
Winifred,857.52
Glade Valley,375.0
Lonsdale,1397.49
Coeburn,475.0
Steamboat Springs,22068.889999999996
Garnerville,4159.03
Francesville,580.0
Dobbins,260.0
Ordway,150.0
West Coxsackie,256.26
Garyville,120.0
Morgan City,2278.0
Pharr,16949.97
Wendell,903593.4300000006
Willows,3712.24
Ford City,1208.62
Belle Mead,7609.92
Lewiston Woodville,100.0
Pe Ell,20.0
Glen Allen,66505.40000000002
Brantford,125.0
Truchas,50.0
Goldvein,1402.83
Brandeis,50.0
San Juan,15276.65
Streamwood,29532.52999999999
Beckville,169.0
Puxico,132.0
Avenal,607.0
Whitney,2833.13
North Collins,801.42
Trumbull,43421.65
Georgiana,1259.5800000000002
Shingle Springs,21712.46
Coaling,95.0
Davey,300.0
Cape Charles,2494.68
Greeleyville,599.89
Fitzhugh,179.0
Mocksville,8659.44
Macksburg,70.0
Altonah,50.0
Mastic,2166.47
Bradenton Beach,3298.4300000000003
Crystal River,7108.11
East Brady,175.0
Altura,175.0
Fort Jennings,368.45
Key Colony Beach,25.0
Esbon,50.0
Vernal,9770.01
San German,783.4100000000001
Gable,170.0
Cisco,1513.7599999999998
West Paducah,175.0
Romeoville,14172.679999999998
Tolono,2543.3199999999997
Desert Center,1235.0
Black Oak,230.5
Gaines,1641.6000000000001
Tillson,345.0
Suffield,8705.84
Port Matilda,7353.839999999999
Mound City,45.0
Sheldonville,25.0
Belzoni,35.0
Thayer,786.62
Dickinson Center,365.0
Hamburg,25704.66
Algoma,1950.42
Sprakers,465.0
Fountaintown,1590.6
Woodland,32364.6
Sharon Grove,5.0
Bergton,100.0
Sitka,2200.63
Bennettsville,12268.24
Stillman Valley,1007.47
Golden,72440.04000000004
Java,478.2
Winton,5231.05
Cranfills Gap,20.0
Rock Tavern,2298.25
Chiefland,1391.98
Algona,775.0
Sibley,12441.869999999999
Seeley,25.0
Dunedin,16269.92
Sweet Home,3994.5299999999997
Carbon,100.0
Guernsey,1650.0
Pinewood,470.0
Freeburg,4680.47
Port Leyden,110.0
Arbovale,75.0
Slickville,545.0
Hanalei,2153.16
Ida,433.0
Saint Johns,8396.79
Dunstable,2212.13
Cocoa,20986.87
Bringhurst,120.0
Monson,3575.12
Halliday,150.0
Katonah,19895.69
Upper Lake,150.0
South Charleston,1659.97
Hurley,23126.010000000002
Lochmere,25.0
East Pembroke,72.08
Charlestown,62415.059999999976
Littlefork,808.93
Emeigh,125.0
Paradox,10.0
Grant Town,40.0
Kings Mountain,9000.99
Jamesport,386.12
Aumsville,3040.92
Kansas,864.96
Sylacauga,3173.54
Pomfret Center,1632.0
Cummington,349.04
Woodward,24390.56
Lockbourne,225.0
Olton,100.0
Brackettville,203.0
Richmond,866559.3699999991
Summerton,2619.75
Newport News,74471.73000000004
Sodus,1183.77
Antigo,2677.1800000000003
Force,115.0
North Greece,20.0
Enosburg Falls,915.0
Parkland,246.43
Richview,25.0
Eton,50.0
Roseboro,3657.91
Church View,50.0
Cross Anchor,25.0
McCausland,25.0
Ceresco,1619.7
Merritt Island,37800.17999999999
Jourdanton,1817.52
Etna,8260.720000000001
Trafalgar,3118.72
De Graff,1574.96
Rangely,1702.0
Antioch,116992.20000000003
New Limerick,170.0
West Augusta,45.0
Igo,154.93
Cross River,826.0
Smithboro,55.0
Fords,3897.5800000000004
Adkins,3489.0299999999997
Fletcher,44955.31999999999
Westbury,22053.710000000003
Neely,35.0
Little Mountain,1653.67
Thurmond,1047.79
Rail Road Flat,25.0
Big Prairie,1096.97
Ellsinore,597.16
Long Creek,950.0
Belva,30.0
Montoursville,1876.75
Shevlin,70.0
Maple Falls,283.48
Donnelly,315.0
Amite,16489.860000000004
Grafton,38533.67
Sausalito,33723.04
Orange,341452.31
Quicksburg,20165.810000000012
Thurmont,6369.479999999999
Yellow Springs,6077.82
Pine Hill,65.0
Lockney,257.38
Cruger,10.0
Wellston,3093.6600000000003
Wilderville,179.11
South Chatham,718.53
Amity,1847.9199999999998
Glyndon,1440.11
Ossining,35280.729999999996
Duvall,12750.25
Medford,201994.55000000005
Woodlawn,1283.0
Blytheville,7123.14
Converse,9783.67
Boise,256393.09
Spangle,122.0
Pawcatuck,4263.040000000001
Warners,580.0
Papillion,24516.510000000002
French Gulch,0.0
Saltillo,5288.06
Hermitage,27167.67
Lykens,135.0
Throckmorton,613.36
Ogema,165.0
Elora,23.0
Shepherdstown,4133.08
Pocola,1232.0
South Hadley,15228.669999999998
Arthurdale,4585.490000000001
Statesville,53998.63
Center Line,1760.77
Avenue,225.0
Attleboro Falls,1454.8
Neversink,35.0
Tivoli,522.98
Etta,671.05
Bloomsdale,2112.5299999999997
Paradis,656.49
Donnellson,2374.81
Fischer,755.9200000000001
Clearwater,100295.96999999997
Dow City,259.0
Accomac,204.61
Wolfcreek,25.0
Pillow,25.0
Ottoville,325.0
Gore Springs,35.0
Watauga,1147.2
Kremmling,0.0
Winfred,25.0
Glen Rose,2295.3900000000003
Pentwater,2819.84
Creal Springs,659.22
Great Neck,24667.349999999995
Clackamas,21370.36
McVeytown,260.16999999999996
McCoy,100.0
Unadilla,694.0
Argillite,327.72
Shamokin,781.0
Noble,31013.729999999996
Vincentown,25150.73
Chetek,1063.04
Mattapan,9315.81
Romance,942.32
Bellmore,38032.92
Essex Fells,1319.43
Austinburg,78279.90000000002
Kylertown,970.0
Dunbarton,1110.58
Salton City,247.4
Gould City,100.0
Bon Wier,124.0
Ina,50.0
Prairie Farm,2886.01
Cochran,2226.0699999999997
Donner,290.0
Vega,199.0
Olmsted Falls,12903.720000000001
Haughton,46066.35
Stuttgart,14451.519999999999
Demopolis,4947.87
Villa Grove,983.28
North Prairie,2171.2300000000005
Mulino,516.59
Fort Myers,115215.27000000005
Bracey,4386.8
Mccleary,719.07
Mosinee,2383.3
Commiskey,10.0
Forks,1354.26
Saint Francis,24598.089999999997
Milford Center,1867.27
Cedar Lane,50.0
Fort McCoy,3036.57
Centreville,58396.960000000014
Hartley,215.0
Wiscasset,5464.790000000001
La Conner,3178.89
Grapeville,175.0
Whites Creek,11843.63
Marvell,934.96
Valhalla,22790.870000000003
Dugway,119.0
Stuart,42025.21
Yutan,5017.719999999999
Welcome,1634.89
Belpre,7004.7300000000005
Valencia,134517.69000000003
Yoder,860.9100000000001
Clallam Bay,25.0
Owings Mills,29137.640000000007
Minneota,524.62
Big Oak Flat,10.0
San Jose,1421093.3599999999
Killington,425.0
Menan,690.47
Walterville,678.19
Cross Junction,3097.69
Wyckoff,14501.7
North Truro,475.0
Kingwood,4223.21
Lanai City,1447.8400000000001
Nashville,513570.18000000005
Farnhamville,25.0
Miltonvale,330.52
Union Springs,3547.87
Pelkie,369.0
Springville,82901.44
Clementon,22081.000000000004
McDermott,170.0
Elberton,2994.13
Neskowin,214.0
Buttonwillow,1945.5500000000002
China Spring,5765.87
Palo Verde,10.0
Parachute,1150.0
McDavid,105.0
North Hudson,50.0
Solgohachia,30.0
Averill Park,2168.41
Rose Hill,2472.0
Galway,765.81
Raynham,8108.65
Wedgefield,1294.79
Ripton,842.75
Sun Prairie,54201.229999999996
Kenilworth,13247.470000000001
Donahue,50.0
Bogata,40.0
Kell,0.0
Beaver Dam,6661.76
Kimbolton,110.0
Jordan,8562.59
West Hartford,250.0
Alleyton,1349.81
Council Bluffs,21721.519999999997
Mustang,17198.590000000004
Chicago Ridge,5750.71
Bogart,6127.76
Bloomington,196388.86000000004
Crestview,18234.85
White Deer,266.75
Sonoita,1884.6899999999998
Dinwiddie,568.29
McKittrick,130.0
Nanty Glo,695.0
Edelstein,1070.0
Lumpkin,515.74
Ottawa Lake,1312.21
Allenton,1390.46
Big Clifty,255.0
Greenvale,800.31
Leland,30063.749999999993
Conestoga,1157.82
Westphalia,1712.67
Wassaic,6682.26
Salfordville,25.0
Zimmerman,2571.06
Putnam Station,532.47
McClelland,95.0
Santa Maria,55519.44000000001
Hogansville,2024.6999999999998
Bogard,135.0
Seligman,928.5
Keno,250.0
Jeffers,131.32
Wrightstown,3474.0200000000004
Rodney,110.0
Semmes,8412.119999999999
Clover,28758.180000000004
Hustontown,310.0
Lee Center,30.0
Argonia,50.0
Aynor,2974.0
Iva,8589.2
Rogue River,3915.95
Seeley Lake,1100.0
Sanger,14750.32
Blue Ridge,14049.760000000002
North Bangor,1792.1100000000001
Citra,708.45
Joelton,4645.1
Kemp,3762.33
Dillwyn,2411.63
Lake Toxaway,3384.2299999999996
Bay Pines,50.0
Lake Station,2188.7
Manila,10488.720000000001
Mountainburg,815.0
Ivy,135.0
Chichester,185.0
Danvers,35444.549999999996
Ubly,507.23
Toutle,180.0
Heidrick,65.0
Montpelier,18576.75
Lynch,290.5
Owenton,475.0
Kent,161671.93
Big Timber,1060.0
Wonder Lake,2684.23
Golden Meadow,644.94
Fithian,116.3
Beach City,967.14
Bryceville,110.0
Silver Lake,3147.74
Wonalancet,25.0
Chimacum,1043.0
Benld,165.0
Frankenmuth,16739.11
Mcpherson,11782.92
Dunnegan,100.0
Grandin,175.0
Minneola,168.24
Arnoldsville,4334.53
Butte Des Morts,798.79
Monte Rio,20532.180000000008
North Oxford,865.0
Paris Crossing,246.61
Griggsville,915.38
Cloquet,6189.7
Ray Brook,25.0
Senatobia,12707.670000000002
Starkweather,149.0
West Swanzey,300.0
Middle River,13116.850000000002
Ruckersville,7311.91
Bryn Mawr,28872.120000000006
Clovis,70647.74
Timewell,25.0
Foxhome,150.0
Ben Lomond,3200.9300000000003
Prosperity,7766.84
Ronan,489.0
Altona,280.0
Calmar,375.0
Williston,55554.520000000004
Grassflat,35.0
North Myrtle Beach,12303.429999999998
Lettsworth,10.0
Rockholds,1429.6599999999999
Leavittsburg,3736.2999999999997
Mchenry,18551.49
Elm Creek,50.0
Westernville,195.0
West Somerset,50.0
South Paris,2605.41
Bishop,18326.870000000003
Elk Grove Village,50640.79000000001
Caspian,797.3199999999999
Leechburg,3198.33
Saint Matthews,1764.97
Anderson Island,65.0
Maria Stein,30.0
Broomfield,60918.72000000001
Ellsworth,8156.48
Oran,231.0
Vintondale,479.0
Clarion,4394.53
Webster City,2896.51
Benge,0.0
Ronda,2244.5
Moretown,1757.06
North Yarmouth,3000.91
Aptos,37189.619999999995
Reston,126168.82000000002
Hillsdale,24630.81
Belknap,18943.41
Wytheville,5310.219999999999
Searsport,905.6800000000001
Kalona,1158.19
Rockfield,605.0
Broomes Island,25.0
Waccabuc,1119.46
Reeds Spring,1314.16
Louann,20.0
White Cottage,20.0
Portales,4352.16
Cloverport,425.0
Medusa,164.22
Fort Richardson,3981.7599999999998
Vidor,9218.810000000001
Ettrick,746.0
Westminster,116580.93000000001
Humboldt,5637.619999999999
Nitro,1223.69
Lake Havasu City,79333.07999999999
Church Rock,50.0
Kawkawlin,1846.13
Chimayo,274.0
Menno,144.11
Elsinore,60.0
Hartsel,68.0
Pounding Mill,260.0
Phil Campbell,2894.2
Pratt,1847.85
Witherbee,25.0
Dowell,50.0
Point Comfort,25.0
Ft Myer,50.0
Malcom,10.0
Panorama City,19087.47
Glen Carbon,8110.849999999999
U S A F Academy,1974.63
Three Bridges,1183.54
Toano,8788.28
Loveland,120544.8
Veblen,50.0
Plaucheville,385.0
Drew,25.0
Brogue,270.0
Callery,50.0
Pinckney,12113.39
Manito,1595.0
White Cloud,1781.81
Camp Hill,19284.910000000003
East Middlebury,222.0
Deary,100.0
Savoonga,135.0
Orem,96388.45999999998
Argonne,125.0
Chloride,80.0
Menlo,316.0
Goreville,792.44
Mingo Junction,318.48
Glenn,575.0
Elfrida,523.08
Folkston,1502.63
Letts,290.0
La Jolla,69819.48
Cobb,2033.67
Ludlow Falls,180.0
Lambertville,8046.09
Castorland,75.0
Rhinebeck,6842.989999999999
Pitkin,1713.37
Jal,937.96
North Lawrence,561.96
Malad City,744.15
Fairfield,299611.1399999999
Fairacres,787.02
Oakfield,2757.83
Saint Hedwig,550.0
Topsfield,5074.210000000001
Cody,3705.3099999999995
Jay,8179.5199999999995
Saint Francisville,9558.82
Bittinger,40.0
Little Lake,285.0
St. Leo,43845.61000000001
Selawik,156.09
Dunseith,50.0
Sanford,90955.18000000004
Chaparral,1085.24
Newton Falls,2019.93
Fife Lake,795.0
North Fort Myers,21721.090000000007
Sabetha,161.73
Culbertson,616.0
San Luis,2269.35
Keswick,12177.0
Rio Nido,25.0
Prairieville,42734.17
Roswell,160260.08000000007
North Andover,34788.57
Maben,2657.12
Mabel,76.0
Tolovana Park,130.0
Leesville,18947.25
Bellmawr,6100.289999999999
Montauk,2170.85
Dawes,258.0
Fallon,5084.49
Hollis Center,2171.0
Vance,2682.51
New Hartford,26643.0
Goodwin,50.0
Church Road,1218.32
Lubec,170.0
Hannacroix,185.0
Winona Lake,2246.84
Dunlevy,95.0
Loxahatchee,8830.429999999998
Fort Dick,20.0
Mundelein,26800.98
Champaign,184958.98000000013
Red Creek,580.0
Cunningham,1068.15
Woodmere,10467.359999999999
Herington,244.0
Brightwaters,11052.46
Norman,233744.49999999997
Milton Freewater,1838.89
Paint Lick,200.74
Thorsby,1873.88
Stratford,87350.59000000001
Keosauqua,3424.6199999999994
Hampden,28229.869999999995
Lodge Grass,605.0
Burkburnett,2387.31
Normal,70875.02000000002
Grand Ledge,11786.100000000002
Noel,3013.23
Star Tannery,326.34
Ronks,0.0
McCaysville,1351.0
Grulla,25.0
Nahant,1481.06
Frankston,950.24
Jet,468.68
Deane,100.0
Middle Grove,455.0
Nicollet,137.0
Chrisman,161.0
Greensboro,367600.82000000036
Topeka,64698.530000000006
New Berlinville,100.0
Rapids City,1502.0700000000002
Crosby,18995.810000000005
Raiford,125.0
Streeter,25.0
Odessa,176344.04000000007
San Joaquin,31.32
Drifton,50.0
Nisswa,440.0
Indian Orchard,2372.0899999999997
Rockvale,1690.8
White Bluff,3360.1500000000005
Ash Fork,150.0
Marlton,32539.449999999997
Mohnton,1736.61
Orla,99.0
Demorest,2929.96
Mabie,186.73
Waitsfield,1704.28
Frametown,2125.0
East Calais,130.0
Lauderdale,218.0
Bartow,10620.66
Montara,6193.09
Darien,94641.84
Spanish Fork,50906.929999999986
Estillfork,75.0
Milton Mills,80.0
Tchula,105.0
Salvisa,10.0
Barton,577.99
Plankinton,124.0
Spanish Fort,6816.839999999999
Broussard,5559.47
Altaville,322.5
Deale,1126.02
Apple Grove,464.0
Gouldbusk,250.0
Slippery Rock,5343.06
Fortuna,8551.779999999999
Central Falls,1053.1399999999999
Lomita,25074.19
Pheba,35.0
Toast,175.0
Martin City,150.0
Rayland,175.0
Annabella,179.5
Spring House,11327.530000000002
Wantagh,34056.369999999995
West Wendover,189.0
Xenia,10587.19
Carolina Beach,7365.52
Stevens,903.72
Acampo,7336.5
Woodruff,230225.16999999998
Hiseville,88.89
Sunset,3228.2799999999997
Dakota City,150.0
Orma,35.0
West Newbury,4194.34
Olivebridge,1442.05
Bland,1087.58
Aiea,26753.4
Rolling Meadows,9226.02
Indian Lake Estates,86.31
Fouke,588.0
Opa Locka,19070.299999999996
Red Lion,8241.69
Stamping Ground,571.0
Glendale,365683.4400000003
Como,2931.07
Lomira,698.5
What Cheer,675.0
Yolo,149.0
Maddock,324.0
Dingmans Ferry,949.5699999999999
Nome,7667.54
Hematite,35.0
Eure,91.35
Osnabrock,100.0
Lillington,7587.16
Smartville,1488.69
Benezett,329.98
Montgomery,122556.13999999996
Tekonsha,296.01
Murrells Inlet,27191.650000000005
El Cerrito,117472.22
Colo,50.0
Hodges,1078.26
Colp,43.8
Lambert,329.0
Wilburton,1071.77
Goode,2623.37
Colt,75.0
Godley,981.4100000000001
Burnham,1436.5299999999997
Malden,69306.87
Littlestown,8918.699999999999
Hodgen,60.0
Crystal Falls,1702.71
Zanesville,8348.16
Haxtun,225.0
Good Hope,2186.32
Cook,220.0
Sunderland,2214.67
Cool,29999.02
Narragansett,6850.949999999999
Grand Chain,440.0
Smithton,3054.58
Halstad,1539.9499999999998
Columbia City,6432.05
Landers,35.0
Lawsonville,1620.3
West Greenwich,5013.239999999999
Placida,1163.85
Grand Valley,170.0
Senoia,8268.14
Casa Grande,933.22
Marysville,74802.12999999996
Las Piedras,174.43
Blair,3777.88
Wellfleet,13976.599999999999
Boxford,8077.92
Flemington,26546.230000000003
Culleoka,767.87
Staples,400.0
Wessington,198.91
Mazeppa,1887.3200000000002
Loyalhanna,108.0
Kenesaw,100.0
Paynesville,1010.74
Lengby,60.0
Manhasset,51274.25
Bechtelsville,723.01
Cord,291.99
Hillburn,135.0
Yankton,4233.16
Cope,4263.8
Cupertino,117594.01999999997
De Berry,688.72
Timmonsville,6672.1900000000005
Glenwood City,518.12
Cabool,2503.0699999999997
Rutherfordton,8580.57
Joy,1346.29
Dodge Center,6820.299999999999
Littleriver,175.0
Claverack,50.0
Wilmette,90755.87999999999
Unityville,125.0
Crumpler,575.0
Tetonia,710.56
Redding Ridge,200.0
Klamath River,100.0
York,123877.02999999997
Cost,25.0
Lily,628.51
Deer Harbor,50.0
Pine Lake,1426.07
Lima,22330.86
Sylvia,210.0
Boones Mill,1212.97
Monterey Park,91451.97000000002
Delphos,15944.080000000002
Kieler,125.0
Crawfordville,8518.77
Sekiu,25.0
Coden,1669.45
St Thomas,2592.5299999999997
Concord,522647.4699999997
Corn,99.0
Larkspur,26180.28
Fairbank,450.0
Wataga,370.59000000000003
Nora,154.0
Colebrook,897.22
Krakow,1540.3100000000002
Red Wing,3811.0699999999997
Burrton,2047.0
Helen,624.78
Catskill,2894.32
Tatamy,100.0
Wing,20.0
South Fulton,431.0
Carle Place,4057.04
Wink,125.0
Rio Rancho,84072.75
Strathmore,675.0
Luckey,250.0
Westover,595.95
Success,10.0
Spiro,922.07
Connersville,2744.0
Bangor,40246.689999999995
Prichard,670.4200000000001
Manlius,7251.900000000001
Alta Vista,25.0
Deer Creek,1015.0
Hansville,1331.58
Verbank,430.0
Dennisville,150.0
Cove,480.0
Bowdoin,882.62
Winn,20.0
Tripp,60.0
East Earl,437.0
Providence,189406.28000000006
Port Royal,1029.9099999999999
Belhaven,2404.24
Maugansville,275.0
Howard City,1750.76
Point Harbor,850.0
Fresno,191753.5000000001
Blenheim,324.5
Noti,350.0
Coulee Dam,323.73
Waskish,20.0
Lind,30.0
Linn,585.0
Reform,2433.23
Westport Point,438.25
Laurens,13500.46
Sumerduck,327.0
Nichols,5217.15
Huggins,80.0
Rotterdam Junction,200.0
Hawkinsville,1125.25
Guayanilla,10.0
North Lima,4527.28
New Enterprise,50.0
Lake Villa,22571.979999999996
Elroy,1511.44
Lake George,1817.54
Palm Coast,59207.770000000004
Stephenson,2751.43
Hesston,1034.91
Knob Noster,2006.2199999999998
Jud,50.0
Mountain Top,10420.71
Mauricetown,186.0
Blue,180.0
Kamas,1649.2
Shorter,150.0
Elm Springs,150.0
Elm Grove,9568.279999999999
Elkhorn,19589.110000000004
Nova,50.0
Goldsmith,20.0
Hardinsburg,1856.22
Novi,45421.68
Aline,195.0
Deer River,325.0
Cypress,227923.07999999996
Crook,2444.36
Lacrosse,40.0
Water View,355.0
Panguitch,150.0
Trion,231.0
Valles Mines,513.0699999999999
Waynoka,25.0
Childersburg,1354.81
Winnetka,105549.63000000002
Lovell,380.48
Deerfield Street,50.0
Millville,13625.79
Lovely,6.0
Blum,566.0
Turners Station,25.0
